UnixTimeStamp,NNIntervals,SDNN_5min,HeartRate,RMSSD_5min
1551452983107,1130,48.51344396188766,57,36.24445770439551
1551452984104,1136,48.48331099920464,56,36.181678775363075
1551452985103,1130,48.55352184945769,56,36.12354791940729
1551452987097,1108,48.64090126617375,56,36.18327501320193
1551452988094,1104,48.624226465678184,56,36.079114581161406
1551452989092,1078,48.61717913995916,56,36.073749627483686
1551452990089,1113,48.53943726502281,56,36.0699716820357
1551452991087,1132,48.58296118955812,56,36.00456320285765
1551452992085,1142,48.60682657016569,55,35.99345178540913
1551452993082,1101,48.5945877680396,55,35.96253010326959
1551452994079,1127,48.59469578633397,55,35.948375683550914
1551452995077,1098,48.594628046075734,55,35.98992914691553
1551452996074,1108,48.59859239228478,55,35.59975922872031
1551452997072,1131,48.34179644130267,55,35.27929380569531
1551452998070,1107,48.34288173598994,55,35.16065170857089
1551453000064,1088,48.32239348622525,55,34.757119381074304
1551453001062,1124,48.30458438392613,55,34.8236725812056
1551453002059,1106,48.268840387779676,55,34.840136702487676
1551453003055,1064,48.267686230543326,56,34.84013670248767
1551453004054,1101,48.18183128829626,56,34.84808869528264
1551453005052,1091,47.96610579921443,56,34.60124894525382
1551453006049,1038,48.0949257835065,56,34.7253509701486
1551453007047,1068,48.09921722345277,56,34.75495853625987
1551453008044,1081,48.10550571104415,56,34.69700481103726
1551453009040,1058,48.08488379753105,57,34.59020298953365
1551453010039,1045,47.83449558604678,57,34.2915545621034
1551453011036,1104,47.82194750256923,57,34.38516083595198
1551453012034,1122,47.70788054174552,56,34.39320946266657
1551453013033,1077,47.633748497602944,57,34.4930117145902
1551453014029,1108,47.55463741888793,56,34.48120845699588
1551453015027,1126,47.53406361500756,56,34.47929906562689
1551453017022,1058,47.47847584464732,56,34.740312113081046
1551453018020,1096,47.31450979147219,56,34.65323114186364
1551453019017,1098,47.23060426303598,56,34.59172138839147
1551453020014,1091,47.24106960955266,56,34.52121500924157
